datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,c_su,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-08-30 09:32:43,53.6147,-42.7039,0.2,10.963,34.387,-0.00366103931499,2.29696,2.394144,37.6466119118,9.0,nan,0.702,11.7272342806,0.00495957011452,0.981879310345,26.3085495129,161.277892596,82.6579083285
2016-08-30 09:32:43,53.6147,-42.7039,2.0,10.965,34.387,-0.0036610393092,2.38038,2.39936,23.3716150242,6.0,nan,0.7,11.7316706241,0.00472175290267,1.0178362069,26.3082295517,152.853931318,78.7226557381
2016-08-30 09:32:43,53.6147,-42.7039,4.0,10.966,34.387,-0.00366103930634,2.41336,2.388928,15.9174498621,4.4,nan,0.699,11.7341689588,0.00473661799653,1.03205172414,26.3080933549,153.380482673,78.9686341459
2016-08-30 09:32:43,53.6147,-42.7039,6.0,10.967,34.387,-0.0036610393066,2.5317,2.39936,11.1445201876,4.2,2.07,0.696,11.7264123987,0.00475891496252,1.08306034483,26.3079571657,154.170285802,79.3375905914
2016-08-30 09:32:43,53.6147,-42.7039,8.0,10.967,34.387,-0.00366103930706,2.51812,2.394144,8.25423922139,3.1,1.53,0.697,11.7221956078,0.00480350619583,1.07720689655,26.3080004384,155.749796469,80.0754588266
2016-08-30 09:32:43,53.6147,-42.7039,10.0,10.967,34.387,-0.00366103930764,2.56274,2.404576,6.41373011554,2.8,1.2,0.698,11.7186624517,0.0048741089819,1.09643965517,26.3080437187,158.250688357,81.2437501989
2016-08-30 09:32:43,53.6147,-42.7039,12.0,10.967,34.387,-0.00366103930831,2.57826,2.383712,5.09005083941,3.4,1.54,0.696,11.7107488303,0.00450251537098,1.10312931034,26.3080587148,145.088099471,75.0948482391
2016-08-30 09:32:43,53.6147,-42.7039,14.0,10.967,34.387,-0.00366103930931,2.58796,2.404576,4.30551059429,2.8,1.47,0.747,11.7028884979,0.00492055818327,1.10731034483,26.3080737185,159.896011968,82.0123629439
2016-08-30 09:32:43,53.6147,-42.7039,16.0,10.967,34.388,-0.00366103931047,2.5705,2.404576,3.6333426223,1.9,0.93,0.695,11.6931498938,0.0045508199361,1.09978448276,26.3088672764,146.799143777,75.8941623996
2016-08-30 09:32:43,53.6147,-42.7039,18.0,10.967,34.388,-0.00366103931182,2.61318,2.39936,2.90457538038,2.0,0.87,0.696,11.6834834661,0.00475705439016,1.11818103448,26.3088822954,154.104380608,79.3068029872
2016-08-30 09:32:43,53.6147,-42.7039,20.0,10.966,34.388,-0.00366103931367,2.58796,2.388928,2.30718454603,2.1,1.04,0.695,11.6684792418,0.00486481518799,1.10731034483,26.3090767375,157.921483589,81.0899622274
2016-08-30 09:32:43,53.6147,-42.7039,22.0,10.965,34.388,-0.0036610393157,2.619,2.39936,1.82423165158,1.7,0.91,0.7,11.6579772005,0.00493541662462,1.12068965517,26.3093210068,160.422327677,82.25823127
2016-08-30 09:32:43,53.6147,-42.7039,24.0,10.961,34.388,-0.00366103931911,2.67332,2.409792,1.44208329627,1.5,0.72,0.693,11.6320668623,0.00476076222872,1.14410344828,26.3101033596,154.235719666,79.3681580135
2016-08-30 09:32:43,53.6147,-42.7039,26.1,10.944,34.389,-0.00366103932569,2.68496,2.409792,1.12355747795,1.4,0.63,0.685,11.5964578406,0.00536829221562,1.14912068966,26.3139974709,175.755646862,89.4211896514
2016-08-30 09:32:43,53.6147,-42.7039,28.0,10.858,34.391,-0.00366103934837,2.65198,2.50368,0.962022335329,1.3,0.63,0.646,11.4843216465,0.00474760907377,1.13490517241,26.330987995,153.769808611,79.1505077153
2016-08-30 09:32:43,53.6147,-42.7039,29.9,10.532,34.391,-0.0036610394162,2.08162,2.50368,0.838495461558,1.2,0.49,0.545,11.142019031,0.00516520325586,0.889060344828,26.3886380189,168.561829729,86.060598764
2016-08-30 09:32:43,53.6147,-42.7039,32.0,8.812,34.49,-0.00366103969486,1.33666,2.639296,0.65341171758,1.4,0.44,0.522,10.6376707044,0.00357197679484,0.567956896552,26.7520132463,112.126562027,59.6968696242
2016-08-30 09:32:43,53.6147,-42.7039,34.0,8.227,34.511,-0.00366103979753,1.2513,2.681024,0.544757644664,1.3,0.67,0.507,10.4120356592,0.00337404056225,0.531163793103,26.8588077028,105.115264796,56.421542889
2016-08-30 09:32:43,53.6147,-42.7039,36.0,7.213,34.563,-0.00366103996674,1.04178,2.707104,0.466262306816,1.4,0.62,0.457,10.1648206161,0.00280179647885,0.440853448276,27.0475741848,84.8452348737,46.9524006259
2016-08-30 09:32:43,53.6147,-42.7039,38.0,6.519,34.599,-0.00366104007206,0.89046,2.733184,0.401400369752,1.2,0.19,0.448,10.0292468361,0.00223192676987,0.375629310345,27.1707678735,64.6593100422,37.5225480467
2016-08-30 09:32:43,53.6147,-42.7039,40.0,6.344,34.6,-0.00366104010186,0.81092,2.727968,0.339843499545,1.3,0.24,0.432,9.96583799783,0.00201422195091,0.341344827586,27.1946687013,56.9477699452,33.9201029331
2016-08-30 09:32:43,53.6147,-42.7039,42.0,6.14,34.604,-0.00366104013888,0.84196,2.727968,0.275807829196,1.4,0.29,0.418,9.89677961935,0.00339802016194,0.354724137931,27.2243201578,105.964670176,56.8183425195
2016-08-30 09:32:43,53.6147,-42.7039,44.0,5.798,34.611,-0.003661040195,0.56648,2.701888,0.220034825988,1.3,0.13,0.396,9.81997573788,0.00165272632243,0.235982758621,27.273187536,44.1428717932,27.9382961607
2016-08-30 09:32:43,53.6147,-42.7039,46.0,5.322,34.639,-0.00366104027208,0.42098,2.68624,0.171698223208,1.4,0.1,0.386,9.7322915743,0.00135631629583,0.173267241379,27.3534451433,33.6434358308,23.0334857982
2016-08-30 09:32:43,53.6147,-42.7039,48.0,5.08,34.654,-0.00366104031087,0.3395,2.675808,0.134929354427,1.4,0.29,0.381,9.69463843905,0.00114956464326,0.138146551724,27.3939015339,26.3198787934,19.6122869285
2016-08-30 09:32:43,53.6147,-42.7039,50.0,5.005,34.661,-0.00366104032541,0.3104,2.675808,0.103944352645,1.4,0.31,0.382,9.67054819349,0.00118098199043,0.125603448276,27.4081962721,27.4327440648,20.1321618185
2016-08-30 09:32:43,53.6147,-42.7039,52.0,4.87,34.669,-0.00366104034641,0.26966,2.681024,0.0808088846476,1.3,0.2,0.376,9.64137184029,0.00108964980219,0.108043103448,27.4300767699,24.1975752932,18.6208530803
2016-08-30 09:32:43,53.6147,-42.7039,54.0,4.814,34.668,-0.00366104035753,0.24444,2.675808,0.0618047502212,1.4,0.24,0.373,9.61756327677,0.00104680666686,0.0971724137931,27.4356818428,22.6799857535,17.9119112927
2016-08-30 09:32:43,53.6147,-42.7039,56.0,4.646,34.681,-0.00366104038463,0.2134,2.66016,0.0456925492946,1.4,0.19,0.37,9.5836402555,0.000999981913594,0.0837931034483,27.4649217729,21.0213593433,17.1370841464
2016-08-30 09:32:43,53.6147,-42.7039,58.0,4.581,34.68,-0.00366104039604,0.19206,2.665376,0.0320591485105,1.4,0.12,0.366,9.56330800753,0.000947829086697,0.0745948275862,27.4713778003,19.174001909,16.2740913229
2016-08-30 09:32:43,53.6147,-42.7039,60.0,4.42,34.692,-0.0036610404225,0.1746,2.618432,0.0209045478689,1.4,0.1,0.363,9.54488582164,0.00106265999715,0.0670689655172,27.4986143091,23.241542419,18.1742424276
