Cruise,Subregion,Season,Station,Date,datetime,Latitude,Longitude,degree_bin,CruiseCN,SCN,CampCN,Cast_Type,Max_MLD,Z_MLD,Diaz_MLD,z_mld_sigT,Target_Z,doc,ba,va,interp_doc,interp_ba,interp_va,bc,vc,doc_corr,redis_doc_vol,redis_doc_corr_vol,accm_doc_vol,accm_doc_corr_vol
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,0,NA,NA,NA,56.8,254000000,5340000000,0.156972,0.09078,56.552248,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,5,56.8,254000000,5340000000,56.8,254000000,5340000000,0.156972,0.09078,56.552248,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,10,56.2,256000000,4160000000,56.2,256000000,4160000000,0.15820800000000002,0.07071999999999999,55.971072,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,25,56.5,263000000,4260000000,56.5,263000000,4260000000,0.162534,0.07242,56.265046,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,50,56.1,276000000,5390000000,56.1,276000000,5390000000,0.17056800000000003,0.09163,55.837802,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,75,56.8,256999999.99999997,5390000000,56.8,256999999.99999997,5390000000,0.158826,0.09163,56.549544,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,100,56.5,254000000,5420000000,56.5,254000000,5420000000,0.156972,0.09214,56.250888,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,121.5,NA,NA,NA,54.78,186490000,6748700000,0.11525082,0.1147279,54.55002128,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,150,52.5,97000000,8510000000,52.5,97000000,8510000000,0.059946000000000006,0.14467,52.295384,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,200,50.1,93000000,10500000000,50.1,93000000,10500000000,0.057474000000000004,0.1785,49.864026,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,300,50.6,97000000,NA,50.6,97000000,NA,0.059946000000000006,NA,50.540054000000005,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,386,NA,NA,NA,48.45,78080000,NA,0.04825344000000001,NA,48.40174656,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,400,48.1,75000000,NA,48.1,75000000,NA,0.04635000000000001,NA,48.053650000000005,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,500,50.9,90000000,NA,50.9,90000000,NA,0.05562000000000001,NA,50.84438,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,750,48.4,74000000,NA,48.4,74000000,NA,0.045732,NA,48.354268,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,1000,49.6,72000000,NA,49.6,72000000,NA,0.04449600000000001,NA,49.555504,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,1250,49.6,62000000,NA,49.6,62000000,NA,0.03831600000000001,NA,49.561684,52.41165803108809,52.239162497616576,NA,NA
AT32,Temperate,Late Autumn,1,2015-11-12,2015-11-12T12:17:00Z,51.034,-43.617,51,3,3,3,Deep,386,121.8,91.55,121.5,1500,49.8,65000000,NA,49.8,65000000,NA,0.040170000000000004,NA,49.759829999999994,52.41165803108809,52.239162497616576,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,0,NA,NA,NA,53.6,383000000,7000000000,0.23669400000000002,0.119,53.244306,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,5,53.6,383000000,7000000000,53.6,383000000,7000000000,0.23669400000000002,0.119,53.244306,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,10,54.5,416000000,9970000000,54.5,416000000,9970000000,0.25708800000000004,0.16949,54.073422,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,25,53.9,422000000,3940000000,53.9,422000000,3940000000,0.26079600000000003,0.06698,53.572224,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,50,52.7,426000000,3770000000,52.7,426000000,3770000000,0.263268,0.06409,52.372642000000006,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,75,53.6,437000000,5500000000,53.6,437000000,5500000000,0.27006600000000003,0.0935,53.236434,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,96.5,NA,NA,NA,54.288,372500000,4433600000,0.23020500000000002,0.0753712,53.9824238,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,100,54.4,362000000,4260000000,54.4,362000000,4260000000,0.22371600000000005,0.07242,54.103864,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,150,50.2,104000000,3020000000,50.2,104000000,3020000000,0.06427200000000001,0.05134,50.084388000000004,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,200,49.5,92000000,4010000000,49.5,92000000,4010000000,0.056856000000000004,0.06817,49.374974,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,222.7,NA,NA,NA,49.6135,91546000,NA,0.056575428000000004,NA,49.556924572,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,300,50,90000000,NA,50,90000000,NA,0.05562000000000001,NA,49.94438,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,400,50.1,85000000,NA,50.1,85000000,NA,0.05253000000000001,NA,50.047470000000004,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,500,49.9,71000000,NA,49.9,71000000,NA,0.04387800000000001,NA,49.856122,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,750,50.3,54000000,NA,50.3,54000000,NA,0.033372000000000006,NA,50.266628,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,1000,51.3,60000000,NA,51.3,60000000,NA,0.03708,NA,51.262919999999994,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,1250,49.3,56000000.00000001,NA,49.3,56000000.00000001,NA,0.03460800000000001,NA,49.265392,52.065281656937586,51.82803589489089,NA,NA
AT32,Subpolar,Late Autumn,2,2015-11-14,2015-11-14T11:29:00Z,54.1,-40.167,54,6,3,6,Deep,222.7,95.27,84.39,96.5,1500,47.8,36000000,NA,47.8,36000000,NA,0.022248000000000004,NA,47.777752,52.065281656937586,51.82803589489089,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,0,NA,NA,NA,59.3,420000000,NA,0.25956000000000007,NA,59.04044,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,10,59.3,420000000,NA,59.3,420000000,NA,0.25956000000000007,NA,59.04044,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,15,59.3,465000000.00000006,NA,59.3,465000000.00000006,NA,0.28737000000000007,NA,59.012629999999994,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,25,58.4,469000000.00000006,NA,58.4,469000000.00000006,NA,0.2898420000000001,NA,58.110158,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,50,58.7,461000000.00000006,NA,58.7,461000000.00000006,NA,0.2848980000000001,NA,58.415102000000005,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,61.5,NA,NA,NA,57.32,339100000,NA,0.20956380000000002,NA,57.1104362,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,75,55.7,196000000,NA,55.7,196000000,NA,0.12112800000000001,NA,55.578872000000004,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,100,52.6,118000000,NA,52.6,118000000,NA,0.07292400000000002,NA,52.527076,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,150,49.5,100000000,NA,49.5,100000000,NA,0.06180000000000001,NA,49.4382,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,200,50.3,97000000,NA,50.3,97000000,NA,0.059946000000000006,NA,50.240054,51.63472538860104,51.53615089834198,NA,NA
AT32,Temperate,Late Autumn,3,2015-11-16,2015-11-16T11:35:00Z,51.117,-40.1,51,11,3,11,Deep,386,64,61.49,61.5,300,48.9,87000000,NA,48.9,87000000,NA,0.053766,NA,48.846233999999995,51.63472538860104,51.53615089834198,NA,NA
